Timestamp,Umidade,Temp1,Temp2
2025/12/06 04:45:56;50,00;21,99;21,05
2025/12/06 04:50:58;50,00;21,99;21,54
2025/12/06 04:55:59;50,00;21,99;21,54
2025/12/06 05:00:31;50,00;21,99;21,54
2025/12/06 05:05:32;50,00;21,99;21,54
2025/12/06 05:10:34;50,00;21,99;21,54
2025/12/06 05:15:35;50,00;21,99;21,54
2025/12/06 05:20:37;50,00;21,99;21,54
2025/12/06 05:25:38;50,00;21,99;21,05
2025/12/06 05:30:40;50,00;21,99;21,54
2025/12/06 05:35:42;51,00;21,51;21,05
2025/12/06 05:40:43;50,00;21,99;21,05
2025/12/06 05:45:45;51,00;21,51;21,05
2025/12/06 05:50:46;50,00;21,51;21,05
2025/12/06 05:55:48;50,00;21,51;21,05
2025/12/06 06:00:49;50,00;21,51;21,05
2025/12/06 06:05:51;50,00;21,51;21,05
2025/12/06 06:10:52;50,00;21,51;21,05
2025/12/06 06:15:54;50,00;21,51;21,05
2025/12/06 06:20:55;50,00;21,51;21,05
2025/12/06 06:25:57;50,00;21,51;21,05
2025/12/06 06:30:58;50,00;21,51;21,05
2025/12/06 06:35:30;50,00;21,51;21,05
2025/12/06 06:40:31;50,00;21,51;21,05
2025/12/06 06:45:33;50,00;21,99;21,54
2025/12/06 06:50:35;50,00;21,99;21,54
2025/12/06 06:55:36;50,00;21,99;21,54
2025/12/06 07:00:37;50,00;21,99;21,54
2025/12/06 07:05:39;50,00;21,99;22,03
2025/12/06 07:10:40;50,00;22,48;22,03
2025/12/06 07:15:42;50,00;22,48;22,52
2025/12/06 07:20:43;50,00;22,97;28,87
2025/12/06 07:25:45;50,00;23,46;29,85
2025/12/06 07:30:46;50,00;23,46;28,87
2025/12/06 07:35:48;50,00;24,44;26,43
2025/12/06 07:40:49;50,00;25,42;26,43
2025/12/06 07:45:50;51,00;25,90;26,43
2025/12/06 07:50:51;51,00;25,90;26,92
2025/12/06 07:55:53;51,00;26,39;26,92
2025/12/06 08:00:54;51,00;26,88;27,40
2025/12/06 08:05:55;51,00;28,35;28,87
