Timestamp,Umidade,Temp1,Temp2
2025/11/24 22:43:46;42,00;19,06;18,61
2025/11/24 22:48:48;42,00;19,06;18,61
2025/11/24 22:53:50;42,00;19,06;18,61
2025/11/24 22:58:53;42,00;19,06;18,61
2025/11/24 23:03:55;41,00;19,06;18,61
2025/11/24 23:08:57;41,00;19,06;18,61
2025/11/24 23:13:59;41,00;19,06;18,61
2025/11/24 23:18:31;41,00;19,06;18,61
2025/11/24 23:23:33;41,00;19,06;18,61
2025/11/24 23:28:35;41,00;19,06;18,61
2025/11/24 23:33:37;39,00;19,06;18,61
2025/11/24 23:38:39;41,00;19,06;18,61
2025/11/24 23:43:41;40,00;18,57;18,12
2025/11/24 23:48:43;40,00;18,57;18,12
2025/11/24 23:53:45;40,00;18,57;18,12
2025/11/24 23:58:48;40,00;18,57;17,63
2025/11/25 00:03:50;41,00;18,57;17,63
2025/11/25 00:08:52;39,00;18,08;17,63
2025/11/25 00:13:54;39,00;18,08;17,63
2025/11/25 00:18:56;40,00;18,08;17,63
2025/11/25 00:23:58;39,00;18,08;17,63
2025/11/25 00:28:30;39,00;18,08;17,63
2025/11/25 00:33:32;39,00;18,08;17,63
2025/11/25 00:38:34;39,00;18,08;17,63
2025/11/25 00:43:37;39,00;18,08;17,63
2025/11/25 00:48:39;39,00;18,08;17,63
2025/11/25 00:53:41;39,00;18,08;17,63
2025/11/25 00:58:43;39,00;18,08;17,14
2025/11/25 01:03:45;39,00;17,60;17,14
2025/11/25 01:08:47;38,00;17,60;17,14
2025/11/25 01:13:50;38,00;17,60;17,14
2025/11/25 01:18:52;38,00;17,60;17,14
2025/11/25 01:23:54;38,00;17,60;17,14
2025/11/25 01:28:56;41,00;17,60;17,14
2025/11/25 01:33:58;38,00;17,60;17,14
2025/11/25 01:38:30;37,00;17,60;17,14
2025/11/25 01:43:32;38,00;17,60;17,14
2025/11/25 01:48:35;38,00;17,60;17,14
2025/11/25 01:53:37;38,00;17,60;17,14
2025/11/25 01:58:39;38,00;17,60;17,14
2025/11/25 02:03:41;38,00;17,60;17,14
2025/11/25 02:08:43;38,00;17,60;17,14
2025/11/25 02:13:45;37,00;17,60;17,14
2025/11/25 02:18:48;37,00;17,60;17,14
2025/11/25 02:23:50;36,00;17,60;17,14
2025/11/25 02:28:52;37,00;17,60;17,14
2025/11/25 02:33:54;37,00;17,60;17,14
2025/11/25 02:38:56;37,00;17,60;17,14
2025/11/25 02:43:59;36,00;17,11;16,65
2025/11/25 02:48:31;37,00;17,11;16,65
2025/11/25 02:53:33;36,00;17,11;16,65
2025/11/25 02:58:35;36,00;17,11;16,65
2025/11/25 03:03:37;36,00;17,11;16,65
2025/11/25 03:08:39;36,00;17,11;16,65
2025/11/25 03:13:42;36,00;17,11;16,65
2025/11/25 03:18:44;36,00;17,11;16,65
2025/11/25 03:23:46;35,00;17,11;16,65
2025/11/25 03:28:48;35,00;17,11;16,65
2025/11/25 03:33:50;35,00;17,11;16,65
2025/11/25 03:38:52;35,00;17,11;16,65
2025/11/25 03:43:55;35,00;17,11;16,65
2025/11/25 03:48:57;35,00;16,62;16,16
2025/11/25 03:53:59;35,00;16,62;16,16
2025/11/25 03:58:31;35,00;17,11;16,16
2025/11/25 04:03:33;35,00;17,11;16,65
